id,nom,type,etat,commune,lon,lat,categorie
20.0,Terminus des Aubiers,TANA,fonctionnelle,33063,-0.5754079766705447,44.87388927261227,Fontaine
26.0,Quai Rive Gauche,TANA,fonctionnelle,33063,-0.5697570366713133,44.84376226594728,Fontaine
27.0,Quai Rive Gauche,TANA,fonctionnelle,33063,-0.5693227166733527,44.842709217613766,Fontaine
35.0,Quai Rive Gauche,TANA,fonctionnelle,33063,-0.5657115783327016,44.85362025927699,Fontaine
36.0,Cours du Chapeau Rouge,BAYARD,hors service,33063,-0.5733607216647361,44.842327842606586,Fontaine
38.0,Place Stalingrad la Bastide,WALLACE,fonctionnelle,33063,-0.5595891866719985,44.840526652609825,Fontaine
41.0,Cours Xavier Arnozan,WALLACE,fonctionnelle,33063,-0.5729408816603729,44.84911779760867,Fontaine
44.0,Place Calixte Camelle,PRESTO,hors service,33063,-0.5497668951142816,44.84275317032159,Fontaine
46.0,Jardin Public (guignol),PRESTO,fonctionnelle,33063,-0.5776230984187274,44.84852001099839,Fontaine
47.0,Jardin Public,PRESTO,fonctionnelle,33063,-0.5776269252454433,44.84851470676639,Fontaine
50.0,Parc Bordelais (proche étang),PRESTO,fonctionnelle,33063,-0.6045929499943546,44.851398230946,Fontaine
61.0,Cimetière la Chartreuse n°9,METALCO,fonctionnelle,33063,-0.5970184603052685,44.835516549771,Fontaine
62.0,Cimetière la Chartreuse n°10,METALCO,fonctionnelle,33063,-0.5966882516748957,44.83488127946967,Fontaine
66.0,Cimetière la Chartreuse n°14,METALCO,fonctionnelle,33063,-0.5951446222959843,44.83358090065618,Fontaine
74.0,Cimetière la Chartreuse n°22,METALCO,fonctionnelle,33063,-0.5947580668063529,44.83406703290025,Fontaine
75.0,Cimetière la Chartreuse n°23,METALCO,fonctionnelle,33063,-0.5943503014186745,44.835414655186625,Fontaine
87.0,Cimetière la Chartreuse n°35,METALCO,fonctionnelle,33063,-0.5908386877949768,44.83584413326507,Fontaine
91.0,Cimetière la Chartreuse n°39,METALCO,fonctionnelle,33063,-0.5895986962256635,44.83620502412064,Fontaine
93.0,Cimetière la Chartreuse n°41,METALCO,fonctionnelle,33063,-0.5905043008588882,44.83735102921913,Fontaine
95.0,Cimetière Pins Francs n°1,ROBINET PAPILLON,fonctionnelle,33063,-0.6202026883381441,44.85939849594245,Fontaine
99.0,Cimetière Pins Francs n°5,METALCO,fonctionnelle,33063,-0.6200730900028517,44.85977730594029,Fontaine
100.0,Cimetière Pins Francs n°6,PRESTO,fonctionnelle,33063,-0.6196608133283021,44.859287734276755,Fontaine
104.0,Cimetière Pins Francs n°10,METALCO,fonctionnelle,33063,-0.6218554216620877,44.85866843093885,Fontaine
110.0,Cimetière Nord n°1,METALCO,fonctionnelle,33075,-0.5906403749942004,44.87439537094372,Fontaine
115.0,Cimetière Nord n°6,METALCO,fonctionnelle,33075,-0.594812213338697,44.8750962809439,Fontaine
117.0,Cimetière Nord n°8,METALCO,fonctionnelle,33075,-0.59458907000059,44.87442687761207,Fontaine
118.0,Cimetière Nord n°9,METALCO,fonctionnelle,33075,-0.5935338049982845,44.87473834260787,Fontaine
127.0,Cimetière Nord n°18,METALCO,fonctionnelle,33075,-0.5919463800023665,44.87816462094085,Fontaine
129.0,Cimetière Nord n°20,METALCO,fonctionnelle,33075,-0.5928207649960893,44.877444452610966,Fontaine
133.0,Cimetière Nord n°24,Borne Béton,fonctionnelle,33075,-0.5952341933290025,44.876479694278345,Fontaine
136.0,Cimetière Nord n°27,METALCO,fonctionnelle,33075,-0.5934392466624175,44.87774345761253,Fontaine
141.0,Cimetière Nord n°32,METALCO,fonctionnelle,33075,-0.5941846883291667,44.876646529275284,Fontaine
146.0,Parc Bordelais (aire de jeux du parc Cerey  milieu parc),PRESTO,fonctionnelle,33063,-0.6011355350028714,44.85391818297133,Fontaine
151.0,Quai des Salinières,FONTAINE EN RANGEE,fonctionnelle,33063,-0.5611054033322284,44.83391059427859,Fontaine
153.0,Quai des salinieres,FONTAINE EN RANGEE,fonctionnelle,33063,-0.5610479966700842,44.83387548927728,Fontaine
154.0,Quai des salinieres (terrain de basket),TANA,fonctionnelle,33063,-0.5610202933302056,44.83385733260818,Fontaine
157.0,Parc Rivière n°2 (Jardin),METALCO,fonctionnelle,33063,-0.5857698583296662,44.855097044275716,Fontaine
158.0,Ilôt Bonnac,TANA,fonctionnelle,33063,-0.5823274133391385,44.84011257927439,Fontaine
159.0,Ilôt Bonnac,TANA,fonctionnelle,33063,-0.5821548371091394,44.8395712908337,Fontaine
161.0,AIRE DE JEUX POINCARE,PRESTO,hors service,33063,-0.6204046733353917,44.844302697607056,Fontaine
168.0,AUBIERS GINKO,METALCO,fonctionnelle,33063,-0.5726569649974093,44.87608371427446,Fontaine
172.0,"Jardin Béchade (n°2, milieu parc)",PRESTO,fonctionnelle,33063,-0.5979326683363279,44.82650366261077,Fontaine
175.0,Rue du muguet/angle puits descazeaux,BAYARD,fonctionnelle,33063,-0.5685368827676256,44.83657719278425,Fontaine
178.0,Place duburg,METALCO,fonctionnelle,33063,-0.5643945899983296,44.83446959428003,Fontaine
179.0,Jardin botanique bastide1,PRESTO,fonctionnelle,33063,-0.5612666009065836,44.84542206821729,Fontaine
181.0,Place maucaillou,METALCO,fonctionnelle,33063,-0.5668763266654059,44.83226191927255,Fontaine
186.0,"Parc Carreire, aire de jeux",DELABIE,fonctionnelle,33063,-0.6082663189887014,44.82384033350401,Fontaine
189.0,142 rue des Terres de Borde,METALCO,fonctionnelle,33063,-0.5547632519652383,44.82294153937313,Fontaine
190.0,"Parc des Berges, quai dechamps",DELABIE,fonctionnelle,33063,-0.5531719150228619,44.83504176818657,Fontaine
191.0,Square Paul Antin,BAYARD,fonctionnelle,33063,-0.5702209029855192,44.81944073251538,Fontaine
194.0,Place Saint Projet,PRESTO,fonctionnelle,33063,-0.5741726504064412,44.83848568242219,Fontaine
195.0,Place Nansouty,PRESTO,fonctionnelle,33063,-0.5723256557271309,44.82008972519315,Fontaine
212.0,Place Gaviniès (square de jeu gavinies),BAYARD,fonctionnelle,33063,-0.5935366111012937,44.83315714010348,Fontaine
216.0,Grand Parc (square) n°1,PRESTO,fonctionnelle,33063,-0.5833546049647186,44.86056795419671,Fontaine
227.0,Square Docteur Roger Hypousteguy,METALCO,fonctionnelle,33063,-0.5441717734779304,44.87900888238058,Fontaine
228.0,"1 rue Lacanau, Bordeaux",METALCO,fonctionnelle,33063,-0.5934118114975201,44.83781407352449,Fontaine
